CaseID,Diffusion,Peclet,Time_s,RMSE,MAE,R2,MaxAbsoluteError,MinimumConcentration,NumericalPeak,AnalyticalPeak,NumericalPeakX_m,AnalyticalPeakX_m,NumericalMass,AnalyticalMass,NumericalCentroidX_m,ExpectedCentroidX_m,NumericalSigma_m,TheoreticalSigma_m,HasNegativeConcentration,Runtime_seconds
D0.006_T10000,0.006,1.66666666666667,10000,0.000231216374876687,7.92380144335509e-05,0.999078252384956,0.00109594330380369,-6.45106709914501e-51,0.0364614354269784,0.036418281019736,109,110,0.999999999999802,1,110,110,10.948962517974,10.9544511501033,0,186.869031083333
D0.006_T20000,0.006,1.66666666666667,20000,0.000137341791836817,5.59934300784277e-05,0.999518689823283,0.000543913828043772,7.22242832766244e-39,0.025773298315503,0.0257516134682126,209,210,0.9999999999996,1,210,210,15.4841783837568,15.4919333848297,0,375.20815175
D0.006_T25000,0.006,1.66666666666667,25000,0.000116157307727941,5.00892607799122e-05,0.999607735334315,0.00043512799545983,2.29346466753554e-31,0.023050762554191,0.023032943298089,259,260,0.999999999999532,1,259.999999999968,260,17.3118393079614,17.3205080756888,0,469.357140666667
D0.008_T10000,0.008,1.25,10000,0.000139837630282818,5.15219235708105e-05,0.999604126389836,0.000612274251873299,7.89957914948718e-50,0.0315673976989643,0.031539156525252,109,110,0.99999999999637,1,110,110,12.6443547437846,12.6491106406735,0,188.288181583333
D0.008_T20000,0.008,1.25,20000,8.30062231611354e-05,3.63841228425896e-05,0.999791884434213,0.000304681211810476,1.88761305937836e-28,0.0223157090104386,0.0223015514519096,209,210,0.999999999992737,1,210,210,17.8818261619631,17.8885438199983,0,377.135649666667
D0.008_T25000,0.008,1.25,25000,7.01939443619592e-05,3.25286272608049e-05,0.999829833128607,0.000243281100130376,1.84379815164038e-23,0.0199587396339718,0.0199471140200716,259,260,0.999999999996522,0.999999999998935,259.999999992173,260,19.9924912899648,20,0,471.145427
D0.010_T10000,0.01,1,10000,9.4648836307444e-05,3.68668684834322e-05,0.999794175925523,0.000390408179828577,3.55660743154476e-41,0.028238500124701,0.0282094791773878,110,110,1.00000000000308,0.999999999999997,110,110,14.1378793867165,14.142135623731,0,188.028420291667
D0.010_T20000,0.01,1,20000,5.61571711969716e-05,2.60238959817898e-05,0.999891085383679,0.000194349384437261,2.80974797506811e-23,0.019960383775581,0.0199471140200716,210,210,1.00000000000615,1,210,210,19.9939899358116,20,0,377.109363375
D0.010_T25000,0.01,1,25000,4.74853514514404e-05,2.32677064544003e-05,0.99991066908729,0.000155487811122158,2.90361653588105e-19,0.0178518094398612,0.0178412411615277,260,260,1.00000000022271,0.999999999834881,259.999999648181,260,22.3539634275364,22.3606797749979,0,471.330279541667
D0.015_T10000,0.015,0.666666666666667,10000,4.65664706356234e-05,2.00548232365473e-05,0.9999369575967,0.000172785524256067,2.40613121362396e-29,0.0230548679670343,0.023032943298089,110,110,1.000000000016,0.999999999911806,110.000000018335,110,17.3170278616033,17.3205080756888,0,188.37460925
D0.015_T20000,0.015,0.666666666666667,20000,2.76026669465585e-05,1.41509947952372e-05,0.999966138230137,8.61806956147897e-05,1.80251635896903e-16,0.0162961293612998,0.016286750396764,210,210,0.999999999999066,0.999999999999996,209.999999999988,210,24.4899867337758,24.4948974278318,0,377.057107958333
D0.015_T25000,0.015,0.666666666666667,25000,2.3336455854094e-05,1.26529147853561e-05,0.999972027154981,6.89559604002635e-05,9.8183542419422e-14,0.0145746060642766,0.0145673124078944,260,260,1.00000004692149,0.999999855604993,259.999894212322,260,27.3808825924143,27.3861278752583,0,471.245310833333
D0.020_T10000,0.02,0.5,10000,2.81550883392285e-05,1.30335251518857e-05,0.999972622769938,9.70665528807306e-05,4.73897261557924e-23,0.0199627224697996,0.0199471140200716,110,110,1.00000000376065,0.999999983579614,110.000005532646,110,19.9970084566166,20,0,188.485946916667
D0.020_T20000,0.02,0.5,20000,1.66739227873497e-05,9.18443357731056e-06,0.999985095052278,4.84447254396839e-05,4.89763061203122e-13,0.0141113134675929,0.0141047395886939,210,210,0.999999999997174,0.999999999991785,209.999999991074,210,28.2800153321544,28.2842712474619,0,377.067393875
D0.020_T25000,0.02,0.5,25000,1.40948862427961e-05,8.22339465337109e-06,0.999987604400723,3.87742224899328e-05,5.81407715176646e-11,0.0126207446727494,0.0126156626101008,260,260,1.00000083223441,0.999995568160152,259.997600147005,260,31.6225392540531,31.6227766016838,0,471.24089225
