Snapshot_Diffusion,Snapshot_Peclet,Snapshot_Time_s,Snapshot_MinimumC,Snapshot_MaximumC,Snapshot_NegativeCount,Snapshot_RMSE,Snapshot_MAE,Snapshot_R2,Snapshot_Mass,Snapshot_HasNegativeC
0.006,1.66666666666667,100,-4.38820163838737e-17,0.402687126826438,0,0.00968738678849962,0.000918183647817024,0.852438495236791,0.999999999999998,0
0.006,1.66666666666667,1000,-2.47211691112551e-19,0.116036306252838,0,0.00132816066669393,0.000253868244265325,0.991039163476052,0.999999999999981,0
0.006,1.66666666666667,5000,-4.07871705038932e-33,0.0515997609796179,0,0.000389725021063586,0.000112218580409743,0.998204657557209,0.999999999999897,0
0.006,1.66666666666667,10000,-6.45106709914501e-51,0.0364614354269784,0,0.000231216374876687,7.92380144335509e-05,0.999078252384956,0.999999999999802,0
0.005,2,100,-0.0337157918277244,0.443498166985605,4,0.0120244337805511,0.00114192357505638,0.792656914458887,1.00000000000261,1
0.005,2,1000,-0.000908284449510889,0.126934511196185,6,0.00180667758428821,0.000335431828828838,0.984905307266484,0.999999999999823,1
0.005,2,5000,-3.55955815768998e-07,0.0565065318091665,9,0.000535073350129866,0.000147581950912224,0.99693031337143,0.999999999998242,1
0.005,2,10000,-2.55430385523547e-10,0.0399366501208552,7,0.000317856063936877,0.000104223743306788,0.998424542127286,0.999999999996493,1
0.004,2.5,100,-0.0762862618602429,0.493106368996452,5,0.0152686627821462,0.0014557925506552,0.701449364199701,0.999999999996607,1
0.004,2.5,1000,-0.005117254801782,0.140905662337552,8,0.0026136567393558,0.000463226969990973,0.971829895221456,1.00000000003211,1
0.004,2.5,5000,-6.4743988011953e-05,0.0630432067775053,15,0.000787114027057817,0.000205549242610357,0.994100145930743,1.00000000000161,1
0.004,2.5,10000,-1.67058205717183e-06,0.0446027666286984,15,0.000468748850771804,0.000145691835673278,0.996966475000821,1.00000000000322,1
0.003,3.33333333333333,100,-0.130080823537545,0.553772636604389,7,0.0200659475554366,0.00188915422729146,0.555992328891217,0.999999999993397,1
0.003,3.33333333333333,1000,-0.0185991283589239,0.159041993303202,9,0.00412141946129038,0.000709806123494739,0.939545859921641,0.999999990977036,1
0.003,3.33333333333333,5000,-0.00107122306270444,0.0721749108661128,23,0.00128629591138951,0.00031431493494226,0.986462258356787,1.00000000000039,1
0.003,3.33333333333333,10000,-0.000147260115629981,0.0512536437163479,23,0.000770797273817021,0.000223172762659569,0.992977187726309,0.999999999999903,1
0.002,5,100,-0.198126174215751,0.628380171852101,5,0.0280101058144466,0.0025426120873563,0.31717220038361,1.00000000001111,1
0.002,5,1000,-0.0454466330330125,0.182424126755808,11,0.00734642778645195,0.00129354706390226,0.843800769111269,1.00000169271474,1
0.002,5,5000,-0.00707942577092378,0.086301581412809,38,0.00250073241770326,0.000582046731461176,0.958607948436416,0.999999996497957,1
0.002,5,10000,-0.0023675477824131,0.0618872634429097,40,0.00152912179439522,0.000410213880910825,0.977733594066704,0.999999999996563,1
