CaseID,Velocity,Peclet,Time_s,RMSE,MAE,R2,MaxAbsoluteError,MinimumConcentration,NumericalPeak,AnalyticalPeak,NumericalPeakX_m,AnalyticalPeakX_m,NumericalCentroidX_m,ExpectedCentroidX_m,NumericalSigma_m,TheoreticalSigma_m,NumericalMass,AnalyticalMass,HasNegativeConcentration,Runtime_seconds
U0.0050_T5000,0.005,0.5,5000,8.21197498114899e-05,2.72192789229838e-05,0.999894846189186,0.000401451583405592,2.2775456804568e-64,0.0399987901451941,0.0398942280401433,35,35,35.0906766069208,35,11.4224400566087,10,1.00007473289797,0.999808463650929,0,151.843403208333
U0.0050_T10000,0.005,0.5,10000,4.79109743996458e-05,1.86413013125721e-05,0.999947260688541,0.000196030782068233,3.09140397244296e-40,0.0282474212660935,0.0282094791773878,60,60,60.0038783903247,60,14.180690265032,14.142135623731,1.00000280453684,0.999990608490147,0,303.561134375
U0.0050_T15000,0.005,0.5,15000,3.51444127311035e-05,1.51381078223711e-05,0.999964091386745,0.000129524558219261,3.15497076238989e-29,0.0230541569434666,0.023032943298089,85,85,85.0001473792863,85,17.3202303053637,17.3205080756888,1.00000010199918,0.999999603393921,0,454.909189708333
U0.0050_T20000,0.005,0.5,20000,2.82420082475532e-05,1.30730796474444e-05,0.999972453471979,9.68156567426465e-05,4.7981691686103e-23,0.0199612617655929,0.0199471140200716,110,110,110.000005534488,110,19.9985177970291,20,1.00000000377206,0.999999983579614,0,606.658910125
U0.0075_T5000,0.0075,0.75,5000,0.000120723449622221,3.94489976495297e-05,0.999772736861618,0.00059223760779465,4.46005125867461e-65,0.0399968703327587,0.0398443914094764,47,47,47.5002366675,47.5,10.0020814505897,10,1.0000002557547,0.99999921454833,0,150.793950458333
U0.0075_T10000,0.0075,0.75,10000,7.12093854735398e-05,2.77230578583597e-05,0.99988349620042,0.000292220523769839,1.37182217546982e-40,0.0282436938194327,0.0282094791773878,85,85,85.0000001395564,85,14.1397372259027,14.142135623731,1.00000000014456,0.999999999262258,0,301.786915291667
U0.0075_T15000,0.0075,0.75,15000,5.23982080013777e-05,2.25892437270218e-05,0.999920178665603,0.000193887909143459,2.12483232877585e-29,0.0230552040434916,0.0230233482374913,122,122,122.500000000074,122.5,17.317574410721,17.3205080756888,1.00000000000468,0.999999999999387,0,452.75811975
U0.0075_T20000,0.0075,0.75,20000,4.21741563890903e-05,1.95363290667235e-05,0.999938571695522,0.000145346237557293,3.8740900372693e-23,0.0199608949034054,0.0199471140200716,160,160,160,160,19.9966155500647,20,1.00000000000614,0.999999999999999,0,603.793784208333
U0.0100_T5000,0.01,1,5000,0.000159912134513794,5.23358346947437e-05,0.9996012427126,0.000788536073171083,2.92303273956449e-66,0.0399640794180001,0.0398942280401433,60,60,60.0000000534475,60,9.99698203904429,10,1.00000000007453,0.999999999286993,0,150.721524291667
U0.0100_T10000,0.01,1,10000,9.4648836307444e-05,3.68668684834322e-05,0.999794175925523,0.000390408179828577,3.55660743154476e-41,0.028238500124701,0.0282094791773878,110,110,110,110,14.1378793867165,14.142135623731,1.00000000000308,0.999999999999997,0,302.609288833333
